student_id,university_id,rank,satisfaction
10094,459,10,0.82
10095,156,1,1.0
10096,12,5,0.92
10097,235,8,0.86
10098,893,2,0.98
10099,177,1,1.0
101,554,5,0.92
1010,353,1,1.0
10100,862,1,1.0
10101,857,15,0.72
10102,86,22,0.58
10103,495,2,0.98
10104,783,3,0.96
10105,120,14,0.74
10106,671,3,0.96
10107,93,10,0.82
10108,11,21,0.6
10109,313,1,1.0
1011,997,27,0.48
10110,512,3,0.96
10111,661,1,1.0
10112,90,6,0.9
10113,44,1,1.0
10114,759,4,0.94
10115,341,29,0.44
10116,308,7,0.88
10117,994,19,0.64
10118,945,42,0.18
10119,18,2,0.98
1012,538,7,0.88
10120,771,3,0.96
10121,502,10,0.82
10122,32,3,0.96
10123,682,1,1.0
10124,936,22,0.58
10125,597,6,0.9
10126,833,1,1.0
10127,635,36,0.3
10128,139,27,0.48
10129,6,8,0.86
1013,420,11,0.8
10130,208,27,0.48
10131,138,3,0.96
10132,614,13,0.76
10133,119,3,0.96
10134,502,15,0.72
10135,304,1,1.0
10136,263,9,0.84
10137,181,3,0.96
10138,941,6,0.9
10139,317,12,0.78
1014,684,2,0.98
10140,6,5,0.92
10141,498,4,0.94
10142,572,10,0.82
10143,540,1,1.0
10144,653,2,0.98
10145,90,10,0.82
10146,768,3,0.96
10147,862,1,1.0
10148,319,25,0.52
10149,513,31,0.4
1015,27,1,1.0
10150,994,11,0.8
10151,275,15,0.72
10152,758,16,0.7
10153,79,21,0.6
10154,503,20,0.62
10155,884,3,0.96
10156,927,13,0.76
10157,672,4,0.94
10158,956,2,0.98
10159,673,1,1.0
1016,102,20,0.62
10160,674,1,1.0
10161,36,1,1.0
10162,0,3,0.96
10163,92,10,0.82
10164,188,6,0.9
10165,572,6,0.9
10166,927,10,0.82
10167,288,21,0.6
10168,509,9,0.84
10169,180,35,0.32
1017,968,42,0.18
10170,539,5,0.92
10171,114,3,0.96
10172,351,1,1.0
10173,998,4,0.94
10174,244,1,1.0
10175,907,1,1.0
10176,694,19,0.64
10177,338,1,1.0
10178,141,1,1.0
10179,40,7,0.88
1018,404,5,0.92
10180,489,34,0.34
10181,48,1,1.0
10182,995,15,0.72
10183,733,17,0.68
10184,948,13,0.76
10185,302,21,0.6
10186,951,3,0.96
10187,900,1,1.0
10188,19,1,1.0
10189,198,1,1.0
1019,599,6,0.9
10190,827,6,0.9
10191,77,1,1.0
10192,587,15,0.72
10193,579,10,0.82
10194,191,13,0.76
10195,753,11,0.8
10196,487,1,1.0
10197,870,29,0.44
10198,435,17,0.68
10199,495,3,0.96
102,309,1,1.0
1020,747,7,0.88
10200,321,10,0.82
10201,705,1,1.0
10202,921,1,1.0
10203,361,32,0.38
10204,182,27,0.48
10205,180,30,0.42
10206,480,8,0.86
10207,761,6,0.9
10208,715,22,0.58
10209,963,3,0.96
1021,114,6,0.9
10210,969,3,0.96
10211,949,1,1.0
10212,267,2,0.98
10213,226,16,0.7
10214,619,1,1.0
10215,930,31,0.4
10216,641,1,1.0
10217,581,3,0.96
10218,391,1,1.0
10219,974,31,0.4
1022,824,1,1.0
10220,216,1,1.0
10221,764,7,0.88
10222,43,6,0.9
10223,687,15,0.72
10224,402,1,1.0
10225,247,27,0.48
10226,244,6,0.9
10227,97,1,1.0
10228,952,6,0.9
10229,232,10,0.82
1023,391,1,1.0
10230,618,3,0.96
10231,148,3,0.96
10232,732,1,1.0
10233,878,9,0.84
10234,271,30,0.42
10235,770,14,0.74
10236,34,12,0.78
10237,670,24,0.54
10238,216,1,1.0
10239,299,1,1.0
1024,612,7,0.88
10240,486,2,0.98
10241,538,3,0.96
10242,323,1,1.0
10243,852,1,1.0
10244,420,21,0.6
10245,300,11,0.8
10246,75,1,1.0
10247,213,5,0.92
10248,344,18,0.66
10249,473,1,1.0
1025,645,1,1.0
10250,512,3,0.96
10251,227,12,0.78
10252,390,3,0.96
10253,854,17,0.68
10254,699,25,0.52
10255,973,12,0.78
10256,775,14,0.74
10257,157,4,0.94
10258,326,14,0.74
10259,993,19,0.64
1026,4,6,0.9
10260,177,1,1.0
10261,667,14,0.74
10262,300,15,0.72
10263,393,2,0.98
10264,947,15,0.72
10265,691,5,0.92
10266,502,12,0.78
10267,865,18,0.66
10268,794,7,0.88
10269,515,1,1.0
1027,414,28,0.46
10270,612,2,0.98
10271,135,7,0.88
10272,532,1,1.0
10273,792,2,0.98
10274,609,1,1.0
10275,461,6,0.9
10276,608,11,0.8
10277,969,4,0.94
10278,391,1,1.0
10279,271,33,0.36
1028,31,31,0.4
10280,615,1,1.0
10281,201,24,0.54
10282,130,15,0.72
10283,806,40,0.22
10284,78,7,0.88
10285,81,32,0.38
10286,211,13,0.76
10287,261,19,0.64
10288,353,1,1.0
10289,531,22,0.58
1029,641,1,1.0
10290,154,37,0.28
10291,99,1,1.0
10292,799,36,0.3
10293,153,10,0.82
10294,240,3,0.96
10295,77,2,0.98
10296,259,10,0.82
10297,87,1,1.0
10298,36,1,1.0
10299,125,10,0.82
103,189,9,0.84
1030,73,1,1.0
10300,975,8,0.86
10301,350,2,0.98
10302,942,2,0.98
10303,911,24,0.54
10304,523,17,0.68
10305,821,13,0.76
10306,526,12,0.78
10307,548,5,0.92
10308,167,1,1.0
10309,404,4,0.94
1031,967,39,0.24
10310,105,26,0.5
10311,866,17,0.68
10312,707,3,0.96
10313,609,1,1.0
10314,763,33,0.36
10315,387,12,0.78
10316,639,7,0.88
10317,937,1,1.0
10318,710,3,0.96
10319,473,1,1.0
1032,633,1,1.0
10320,982,31,0.4
10321,438,16,0.7
10322,564,9,0.84
10323,613,1,1.0
10324,539,1,1.0
10325,733,20,0.62
10326,852,5,0.92
10327,0,3,0.96
10328,234,4,0.94
10329,979,10,0.82
1033,181,2,0.98
10330,444,2,0.98
10331,864,12,0.78
10332,922,29,0.44
10333,689,24,0.54
10334,639,6,0.9
10335,401,30,0.42
10336,277,1,1.0
10337,676,15,0.72
10338,532,1,1.0
10339,916,28,0.46
1034,669,1,1.0
10340,953,30,0.42
10341,160,20,0.62
10342,282,15,0.72
10343,733,26,0.5
10344,151,1,1.0
10345,471,21,0.6
10346,138,6,0.9
10347,434,27,0.48
10348,715,17,0.68
10349,236,14,0.74
1035,279,14,0.74
10350,66,6,0.9
10351,404,4,0.94
10352,635,38,0.26
10353,18,1,1.0
10354,538,5,0.92
10355,316,17,0.68
10356,87,1,1.0
10357,418,15,0.72
10358,475,29,0.44
10359,808,20,0.62
1036,677,28,0.46
10360,470,17,0.68
10361,286,36,0.3
10362,588,21,0.6
10363,833,1,1.0
10364,16,1,1.0
10365,777,26,0.5
10366,16,1,1.0
10367,332,6,0.9
10368,418,4,0.94
10369,926,31,0.4
1037,582,1,1.0
10370,380,11,0.8
10371,83,21,0.6
10372,936,8,0.86
10373,637,14,0.74
10374,179,9,0.84
10375,906,29,0.44
10376,346,2,0.98
10377,971,5,0.92
10378,386,1,1.0
10379,394,2,0.98
1038,800,26,0.5
10380,856,15,0.72
10381,162,1,1.0
10382,361,42,0.18
10383,937,1,1.0
10384,994,10,0.82
10385,661,1,1.0
10386,36,1,1.0
10387,391,1,1.0
10388,880,9,0.84
10389,384,1,1.0
1039,913,24,0.54
10390,171,2,0.98
10391,481,12,0.78
10392,276,1,1.0
10393,833,1,1.0
10394,929,9,0.84
10395,481,7,0.88
10396,34,13,0.76
10397,832,6,0.9
10398,32,5,0.92
10399,895,22,0.58
104,171,3,0.96
1040,764,9,0.84
10400,964,1,1.0
10401,152,5,0.92
10402,427,1,1.0
10403,774,25,0.52
10404,99,1,1.0
10405,841,1,1.0
10406,873,13,0.76
10407,956,2,0.98
10408,689,18,0.66
10409,902,1,1.0
1041,299,2,0.98
10410,954,31,0.4
10411,63,1,1.0
10412,270,9,0.84
10413,384,1,1.0
10414,531,24,0.54
10415,359,7,0.88
10416,535,11,0.8
10417,370,7,0.88
10418,572,5,0.92
10419,135,15,0.72
1042,768,3,0.96
10420,478,25,0.52
10421,270,4,0.94
10422,559,22,0.58
10423,306,4,0.94
10424,235,10,0.82
10425,160,18,0.66
10426,500,4,0.94
10427,757,16,0.7
10428,998,6,0.9
10429,685,25,0.52
1043,177,1,1.0
10430,728,21,0.6
10431,429,9,0.84
10432,218,12,0.78
10433,600,26,0.5
10434,946,19,0.64
10435,126,9,0.84
10436,531,20,0.62
10437,966,27,0.48
10438,123,1,1.0
10439,468,24,0.54
1044,955,3,0.96
10440,615,1,1.0
10441,903,4,0.94
10442,366,4,0.94
10443,664,1,1.0
10444,207,2,0.98
10445,177,1,1.0
10446,163,11,0.8
10447,701,19,0.64
10448,716,27,0.48
10449,877,7,0.88
1045,235,6,0.9
10450,553,1,1.0
10451,229,20,0.62
10452,753,7,0.88
10453,584,14,0.74
10454,366,3,0.96
10455,676,22,0.58
10456,860,8,0.86
10457,671,1,1.0
10458,609,1,1.0
10459,980,1,1.0
1046,604,20,0.62
10460,333,1,1.0
10461,697,31,0.4
10462,505,5,0.92
10463,869,9,0.84
10464,230,7,0.88
10465,33,1,1.0
10466,850,25,0.52
10467,639,7,0.88
10468,233,4,0.94
10469,595,13,0.76
1047,766,10,0.82
10470,520,1,1.0
10471,558,29,0.44
10472,895,21,0.6
10473,976,3,0.96
10474,895,21,0.6
10475,461,9,0.84
10476,786,40,0.22
10477,885,34,0.34
10478,36,1,1.0
10479,495,2,0.98
1048,251,1,1.0
10480,408,36,0.3
10481,94,1,1.0
10482,971,10,0.82
10483,597,5,0.92
10484,599,5,0.92
10485,44,2,0.98
10486,250,3,0.96
10487,791,1,1.0
10488,163,2,0.98
10489,860,7,0.88
1049,335,31,0.4
10490,338,1,1.0
10491,405,21,0.6
10492,370,7,0.88
10493,684,1,1.0
10494,991,2,0.98
10495,498,5,0.92
10496,884,3,0.96
10497,101,3,0.96
10498,196,3,0.96
10499,612,2,0.98
105,404,7,0.88
1050,221,1,1.0
10500,966,25,0.52
10501,491,1,1.0
10502,541,21,0.6
10503,509,7,0.88
10504,102,29,0.44
10505,40,3,0.96
10506,681,27,0.48
10507,309,1,1.0
10508,613,1,1.0
10509,32,6,0.9
1051,151,1,1.0
10510,991,2,0.98
10511,155,2,0.98
10512,889,2,0.98
10513,556,2,0.98
10514,595,11,0.8
10515,613,1,1.0
10516,841,1,1.0
10517,243,1,1.0
10518,785,1,1.0
10519,911,19,0.64
1052,418,17,0.68
10520,82,8,0.86
10521,405,25,0.52
10522,531,28,0.46
10523,882,12,0.78
10524,769,1,1.0
10525,793,34,0.34
10526,139,26,0.5
10527,340,1,1.0
10528,577,4,0.94
10529,963,5,0.92
1053,999,22,0.58
10530,794,5,0.92
10531,853,11,0.8
10532,100,33,0.36
10533,372,11,0.8
10534,807,15,0.72
10535,309,1,1.0
10536,777,32,0.38
10537,914,24,0.54
10538,756,23,0.56
10539,277,1,1.0
1054,680,24,0.54
10540,713,26,0.5
10541,241,9,0.84
10542,289,1,1.0
10543,980,1,1.0
10544,496,31,0.4
10545,668,29,0.44
10546,661,1,1.0
10547,867,2,0.98
10548,441,1,1.0
10549,102,25,0.52
1055,372,11,0.8
10550,465,17,0.68
10551,85,22,0.58
10552,776,7,0.88
10553,68,39,0.24
10554,964,1,1.0
10555,277,1,1.0
10556,425,5,0.92
10557,635,29,0.44
10558,730,41,0.2
10559,69,20,0.62
1056,827,2,0.98
10560,879,20,0.62
10561,3,1,1.0
10562,573,24,0.54
10563,581,1,1.0
10564,520,1,1.0
10565,568,8,0.86
10566,901,1,1.0
10567,684,1,1.0
10568,929,6,0.9
10569,68,44,0.14
1057,203,14,0.74
10570,838,1,1.0
10571,452,12,0.78
10572,807,18,0.66
10573,775,27,0.48
10574,453,1,1.0
10575,247,40,0.22
10576,703,12,0.78
10577,214,22,0.58
10578,564,7,0.88
10579,718,2,0.98
1058,324,11,0.8
10580,652,20,0.62
10581,540,1,1.0
10582,119,3,0.96
10583,416,21,0.6
10584,512,1,1.0
10585,466,16,0.7
10586,635,29,0.44
10587,388,2,0.98
10588,34,23,0.56
10589,506,8,0.86
1059,46,36,0.3
10590,7,14,0.74
10591,380,17,0.68
10592,574,5,0.92
10593,889,2,0.98
10594,352,8,0.86
10595,40,7,0.88
10596,593,2,0.98
10597,243,1,1.0
10598,13,5,0.92
10599,74,29,0.44
106,118,18,0.66
1060,981,8,0.86
10600,237,5,0.92
10601,115,24,0.54
10602,928,1,1.0
10603,114,6,0.9
10604,868,14,0.74
10605,876,1,1.0
10606,849,1,1.0
10607,529,13,0.76
10608,605,30,0.42
10609,750,2,0.98
1061,483,1,1.0
10610,64,7,0.88
10611,846,3,0.96
10612,927,11,0.8
10613,889,3,0.96
10614,514,2,0.98
10615,498,3,0.96
10616,6,5,0.92
10617,928,2,0.98
10618,23,17,0.68
10619,161,1,1.0
1062,502,11,0.8
10620,409,28,0.46
10621,2,22,0.58
10622,271,29,0.44
10623,624,38,0.26
10624,438,13,0.76
10625,669,1,1.0
10626,44,1,1.0
10627,657,1,1.0
10628,610,31,0.4
10629,510,3,0.96
1063,922,39,0.24
10630,485,1,1.0
10631,90,7,0.88
10632,906,24,0.54
10633,384,1,1.0
10634,626,5,0.92
10635,24,18,0.66
10636,52,11,0.8
10637,237,2,0.98
10638,879,28,0.46
10639,790,11,0.8
1064,310,1,1.0
10640,709,1,1.0
10641,492,2,0.98
10642,31,21,0.6
10643,783,1,1.0
10644,267,2,0.98
10645,466,32,0.38
10646,274,5,0.92
10647,122,4,0.94
10648,618,8,0.86
10649,849,1,1.0
1065,685,16,0.7
10650,512,3,0.96
10651,9,24,0.54
10652,949,1,1.0
10653,312,1,1.0
10654,96,1,1.0
10655,147,1,1.0
10656,957,3,0.96
10657,801,4,0.94
10658,19,1,1.0
10659,389,1,1.0
1066,378,16,0.7
10660,360,1,1.0
10661,708,15,0.72
10662,830,1,1.0
10663,923,5,0.92
10664,842,2,0.98
10665,351,1,1.0
10666,693,31,0.4
10667,479,1,1.0
10668,463,4,0.94
10669,900,1,1.0
1067,532,1,1.0
10670,341,28,0.46
10671,59,15,0.72
10672,109,16,0.7
10673,732,1,1.0
10674,469,1,1.0
10675,232,10,0.82
10676,219,6,0.9
10677,109,22,0.58
10678,40,6,0.9
10679,646,12,0.78
1068,388,8,0.86
10680,171,2,0.98
10681,731,8,0.86
10682,488,38,0.26
10683,37,2,0.98
10684,141,1,1.0
10685,551,2,0.98
10686,474,6,0.9
10687,96,1,1.0
10688,60,24,0.54
10689,137,32,0.38
1069,905,1,1.0
10690,901,2,0.98
10691,251,1,1.0
10692,515,1,1.0
10693,856,17,0.68
10694,18,1,1.0
10695,464,13,0.76
10696,197,20,0.62
10697,406,7,0.88
10698,247,38,0.26
10699,114,6,0.9
107,369,13,0.76
1070,202,29,0.44
10700,455,10,0.82
10701,518,14,0.74
10702,638,36,0.3
10703,873,12,0.78
10704,958,13,0.76
10705,696,11,0.8
10706,671,5,0.92
10707,110,9,0.84
10708,358,1,1.0
10709,203,12,0.78
1071,304,1,1.0
10710,666,38,0.26
10711,79,16,0.7
10712,831,1,1.0
10713,253,9,0.84
10714,822,5,0.92
10715,802,32,0.38
10716,784,29,0.44
10717,471,15,0.72
10718,646,14,0.74
10719,760,6,0.9
1072,240,5,0.92
10720,40,4,0.94
10721,286,25,0.52
10722,490,1,1.0
10723,814,1,1.0
10724,674,1,1.0
10725,143,13,0.76
10726,150,1,1.0
10727,656,4,0.94
10728,198,1,1.0
10729,400,9,0.84
1073,49,5,0.92
10730,827,3,0.96
10731,670,20,0.62
10732,178,1,1.0
10733,107,15,0.72
10734,801,2,0.98
10735,252,22,0.58
10736,841,1,1.0
10737,522,1,1.0
10738,585,2,0.98
10739,454,2,0.98
1074,363,6,0.9
10740,21,37,0.28
10741,94,2,0.98
10742,544,1,1.0
10743,9,22,0.58
10744,960,1,1.0
10745,322,1,1.0
10746,433,1,1.0
10747,816,27,0.48
10748,359,11,0.8
10749,334,8,0.86
1075,905,1,1.0
10750,84,6,0.9
10751,314,2,0.98
10752,717,18,0.66
10753,811,27,0.48
10754,473,1,1.0
10755,424,14,0.74
10756,687,18,0.66
10757,8,11,0.8
10758,701,26,0.5
10759,674,2,0.98
1076,233,4,0.94
10760,983,34,0.34
10761,171,2,0.98
10762,235,2,0.98
10763,452,16,0.7
10764,776,7,0.88
10765,838,1,1.0
10766,462,2,0.98
10767,782,1,1.0
10768,628,9,0.84
10769,700,5,0.92
1077,400,8,0.86
10770,641,1,1.0
10771,41,1,1.0
10772,947,14,0.74
10773,467,4,0.94
10774,830,2,0.98
10775,367,6,0.9
10776,907,1,1.0
10777,363,8,0.86
10778,359,13,0.76
10779,780,1,1.0
1078,416,12,0.78
10780,969,2,0.98
10781,804,6,0.9
10782,238,7,0.88
10783,525,8,0.86
10784,113,1,1.0
10785,500,1,1.0
10786,564,2,0.98
10787,363,6,0.9
10788,676,10,0.82
10789,215,4,0.94
1079,674,1,1.0
10790,544,1,1.0
10791,216,1,1.0
10792,18,1,1.0
10793,298,2,0.98
10794,467,1,1.0
10795,440,2,0.98
10796,400,11,0.8
10797,493,11,0.8
10798,283,1,1.0
10799,975,8,0.86
108,595,16,0.7
1080,382,32,0.38
10800,785,1,1.0
10801,615,1,1.0
10802,175,40,0.22
10803,991,1,1.0
10804,141,1,1.0
10805,113,1,1.0
10806,902,1,1.0
10807,805,9,0.84
10808,690,1,1.0
10809,454,2,0.98
1081,296,2,0.98
10810,827,4,0.94
10811,18,2,0.98
10812,578,1,1.0
10813,101,4,0.94
10814,341,29,0.44
10815,753,4,0.94
10816,425,5,0.92
10817,96,1,1.0
10818,889,1,1.0
10819,720,6,0.9
1082,567,10,0.82
10820,656,8,0.86
10821,624,31,0.4
10822,612,2,0.98
10823,291,24,0.54
10824,210,18,0.66
10825,453,2,0.98
10826,558,32,0.38
10827,70,1,1.0
10828,138,3,0.96
10829,655,20,0.62
1083,660,14,0.74
10830,921,2,0.98
10831,363,12,0.78
10832,434,23,0.56
10833,585,2,0.98
10834,174,1,1.0
10835,291,20,0.62
10836,363,12,0.78
10837,643,1,1.0
10838,241,6,0.9
10839,3,1,1.0
1084,48,1,1.0
10840,298,1,1.0
10841,226,22,0.58
10842,512,5,0.92
10843,986,3,0.96
10844,931,3,0.96
10845,98,1,1.0
10846,547,17,0.68
10847,147,1,1.0
10848,486,4,0.94
10849,694,20,0.62
1085,562,32,0.38
10850,849,1,1.0
10851,883,14,0.74
10852,338,1,1.0
10853,969,5,0.92
10854,736,1,1.0
10855,661,1,1.0
10856,352,5,0.92
10857,359,12,0.78
10858,643,1,1.0
10859,232,10,0.82
1086,550,1,1.0
10860,63,2,0.98
10861,504,40,0.22
10862,421,20,0.62
10863,223,13,0.76
10864,313,1,1.0
10865,352,12,0.78
10866,81,24,0.54
10867,672,3,0.96
10868,412,13,0.76
10869,991,1,1.0
1087,772,4,0.94
10870,746,14,0.74
10871,492,2,0.98
10872,709,3,0.96
10873,579,14,0.74
10874,495,2,0.98
10875,798,3,0.96
10876,423,38,0.26
10877,972,1,1.0
10878,476,3,0.96
10879,94,1,1.0
1088,155,2,0.98
10880,642,24,0.54
10881,377,1,1.0
10882,182,24,0.54
10883,891,32,0.38
10884,905,1,1.0
10885,550,1,1.0
10886,995,13,0.76
10887,796,25,0.52
10888,525,5,0.92
10889,768,2,0.98
1089,300,18,0.66
10890,209,14,0.74
10891,65,35,0.32
10892,389,1,1.0
10893,347,2,0.98
10894,220,21,0.6
10895,963,6,0.9
10896,165,1,1.0
10897,404,7,0.88
10898,909,2,0.98
10899,574,7,0.88
109,851,34,0.34
1090,49,7,0.88
10900,680,32,0.38
10901,596,13,0.76
10902,322,1,1.0
10903,282,14,0.74
10904,221,1,1.0
10905,574,7,0.88
10906,344,10,0.82
10907,833,1,1.0
10908,729,26,0.5
10909,852,2,0.98
1091,346,3,0.96
10910,574,7,0.88
10911,441,1,1.0
10912,393,1,1.0
10913,976,1,1.0
10914,443,1,1.0
10915,534,18,0.66
10916,503,25,0.52
10917,432,3,0.96
10918,235,3,0.96
10919,167,1,1.0
1092,629,1,1.0
10920,264,28,0.46
10921,668,33,0.36
10922,416,8,0.86
10923,439,1,1.0
10924,975,7,0.88
10925,538,4,0.94
10926,380,19,0.64
10927,370,5,0.92
10928,361,39,0.24
10929,319,29,0.44
1093,177,1,1.0
10930,667,11,0.8
10931,533,1,1.0
10932,643,1,1.0
10933,720,9,0.84
10934,52,6,0.9
10935,94,1,1.0
10936,560,12,0.78
10937,49,8,0.86
10938,947,7,0.88
10939,49,4,0.94
1094,104,1,1.0
10940,537,8,0.86
10941,286,23,0.56
10942,71,10,0.82
10943,964,1,1.0
10944,756,24,0.54
10945,492,1,1.0
10946,821,22,0.58
10947,132,1,1.0
10948,653,1,1.0
10949,247,40,0.22
1095,585,1,1.0
10950,324,16,0.7
10951,461,10,0.82
10952,147,1,1.0
10953,484,18,0.66
10954,492,4,0.94
10955,504,32,0.38
10956,935,37,0.28
10957,92,11,0.8
10958,388,4,0.94
10959,276,1,1.0
1096,72,1,1.0
10960,464,10,0.82
10961,0,4,0.94
10962,626,8,0.86
10963,443,1,1.0
10964,880,8,0.86
10965,244,3,0.96
10966,300,13,0.76
10967,27,1,1.0
10968,38,2,0.98
10969,29,1,1.0
1097,100,35,0.32
10970,648,5,0.92
10971,17,6,0.9
10972,836,4,0.94
10973,472,13,0.76
10974,545,31,0.4
10975,779,1,1.0
10976,154,24,0.54
10977,623,3,0.96
10978,618,7,0.88
10979,881,23,0.56
1098,868,19,0.64
10980,477,7,0.88
10981,529,9,0.84
10982,548,7,0.88
10983,922,31,0.4
10984,344,16,0.7
10985,55,17,0.68
10986,51,11,0.8
10987,913,14,0.74
10988,404,6,0.9
10989,826,2,0.98
1099,557,23,0.56
10990,963,3,0.96
10991,746,12,0.78
10992,147,1,1.0
10993,700,2,0.98
10994,850,15,0.72
10995,720,4,0.94
10996,159,31,0.4
10997,880,13,0.76
10998,14,24,0.54
10999,33,1,1.0
11,83,15,0.72
110,205,8,0.86
1100,163,9,0.84
11000,674,1,1.0
11001,841,1,1.0
11002,972,1,1.0
11003,750,1,1.0
11004,899,11,0.8
11005,498,7,0.88
11006,803,25,0.52
11007,16,1,1.0
11008,975,5,0.92
11009,417,38,0.26
1101,798,1,1.0
11010,522,1,1.0
11011,891,34,0.34
11012,827,4,0.94
11013,42,23,0.56
11014,723,37,0.28
11015,113,1,1.0
11016,928,2,0.98
11017,629,1,1.0
11018,43,11,0.8
11019,393,3,0.96
1102,195,12,0.78
11020,621,12,0.78
11021,281,3,0.96
11022,410,1,1.0
11023,588,24,0.54
11024,779,2,0.98
11025,821,14,0.74
11026,140,2,0.98
11027,128,26,0.5
11028,49,5,0.92
11029,324,13,0.76
1103,235,3,0.96
11030,859,3,0.96
11031,20,13,0.76
11032,853,20,0.62
11033,687,16,0.7
11034,477,4,0.94
11035,171,2,0.98
11036,439,1,1.0
11037,809,4,0.94
11038,650,1,1.0
11039,433,1,1.0
1104,736,1,1.0
11040,407,40,0.22
11041,508,1,1.0
11042,688,8,0.86
11043,643,1,1.0
11044,719,5,0.92
11045,238,1,1.0
11046,988,5,0.92
11047,835,33,0.36
11048,184,7,0.88
11049,140,2,0.98
1105,251,1,1.0
11050,491,1,1.0
11051,39,4,0.94
11052,650,1,1.0
11053,147,1,1.0
11054,513,24,0.54
11055,222,2,0.98
11056,673,1,1.0
11057,780,1,1.0
11058,589,21,0.6
11059,103,1,1.0
1106,578,1,1.0
11060,568,11,0.8
11061,679,8,0.86
11062,156,1,1.0
11063,798,3,0.96
11064,72,1,1.0
11065,54,3,0.96
11066,437,26,0.5
11067,399,15,0.72
11068,463,5,0.92
11069,505,5,0.92
1107,39,9,0.84
11070,595,19,0.64
11071,498,7,0.88
11072,318,27,0.48
11073,992,4,0.94
11074,358,1,1.0
11075,453,1,1.0
11076,176,5,0.92
11077,801,6,0.9
11078,237,3,0.96
11079,875,17,0.68
1108,908,12,0.78
11080,633,1,1.0
11081,924,11,0.8
11082,117,2,0.98
11083,371,3,0.96
11084,150,1,1.0
11085,761,2,0.98
11086,897,39,0.24
11087,502,11,0.8
11088,73,1,1.0
11089,999,34,0.34
1109,811,24,0.54
11090,614,21,0.6
11091,462,1,1.0
11092,723,33,0.36
11093,469,1,1.0
11094,568,18,0.66
11095,927,15,0.72
11096,184,9,0.84
11097,398,14,0.74
11098,489,36,0.3
11099,732,1,1.0
111,440,1,1.0
1110,105,31,0.4
11100,832,2,0.98
11101,873,10,0.82
11102,328,1,1.0
11103,524,21,0.6
11104,413,22,0.58
11105,22,3,0.96
11106,91,1,1.0
11107,841,1,1.0
11108,394,1,1.0
11109,787,37,0.28
1111,918,29,0.44
11110,793,30,0.42
11111,663,26,0.5
11112,617,7,0.88
11113,609,1,1.0
11114,484,9,0.84
11115,95,29,0.44
11116,215,6,0.9
11117,104,5,0.92
11118,414,28,0.46
11119,721,32,0.38
1112,859,2,0.98
11120,985,7,0.88
11121,338,1,1.0
11122,782,1,1.0
11123,991,2,0.98
11124,447,22,0.58
11125,990,2,0.98
11126,491,1,1.0
11127,4,7,0.88
11128,473,1,1.0
11129,825,4,0.94
1113,763,27,0.48
11130,391,1,1.0
11131,121,3,0.96
11132,384,1,1.0
11133,38,1,1.0
11134,207,1,1.0
11135,427,2,0.98
11136,975,2,0.98
11137,759,1,1.0
11138,834,4,0.94
11139,849,1,1.0
1114,358,1,1.0
